File name,Work,Phonetically annotated,Details,Legend
daeh-Bie_yuan_zhong-Mei_fei-qm,“别院中起笙歌因风送听”——《梅妃》（江采萍）,*,,"daeh - role-type: dan 旦, shenqiang: er huang 二黄"
daeh-Yang_Yu_huan-Tai_zhen_wai_zhuan-lon,“杨玉环在殿前深深拜定”——《太真外传》（杨玉环）,*,,"dafeh - role-type: dan, shenqiang: fan er huang 反二黄"
daeh-Yi_sha_shi-Suo_lin_nang-qm,“一霎时把七情俱已昧尽”——《锁麟囊》（薛湘灵）,*,,"dagbz - role-type: dan, shenqiang: gao bo zi 高拨子"
daeh-You_He_hou-He_hou_ma_dian-qm,“有贺后在金殿一声高骂”——《贺后骂殿》（贺后）,*,,"dabz - role-type: dan, shenqiang: bang zi 梆子"
dafeh-Bi_yun_tian-Xi_xiang_ji01-qm,“碧云天黄花地西风紧”——《西厢记》（崔莺莺）,*,,"daspd - role-type: dan, shenqiang: si ping diao 四平调"
dafeh-Bi_yun_tian-Xi_xiang_ji02-qm,“碧云天黄花地西风紧”——《西厢记》（崔莺莺）,,,"daxp - role-type: dan, shenqiang: xi pi 西皮"
dafeh-Mo_lai_you-Liu_yue_xue-qm,“没来由遭刑宪受此大难”——《六月雪》（窦娥）,*,,
dagbz-Feng_xiao_xiao-Yang_men_nv_jiang-lon,“风萧萧雾漫漫星光惨淡”——《杨门女将》（穆桂英）,*,,
danbz-Bei_jiu_chan-Chun_gui_men01-qm,“被纠缠陡想起婚时情景”——《春闺梦》（张氏）,*,,
danbz-Bei_jiu_chan-Chun_gui_men02-qm,“被纠缠陡想起婚时情景”——《春闺梦》（张氏）,,,
danbz-Bei_jiu_chan-Chun_gui_men03-qm,“被纠缠陡想起婚时情景”——《春闺梦》（张氏）,*,,
danbz-Kan_dai_wang-Ba_wang_bie_ji01-qm,“看大王在帐中和衣睡稳”——《霸王别姬》（虞姬）,*,,
danbz-Kan_dai_wang-Ba_wang_bie_ji02-qm,“看大王在帐中和衣睡稳”——《霸王别姬》（虞姬）,,,
danbz-Kan_dai_wang-Ba_wang_bie_ji03-qm,“看大王在帐中和衣睡稳”——《霸王别姬》（虞姬）,*,,
danbz-Qing_chen_qi-Shi_yu_zhuo-qm,“清早起我这里急忙梳洗”——《拾玉镯》（孙玉娇）,*,,
danbz-Xing_xing_zou-Mai_shui-qm,“行行走，走行行”——《卖水》（梅英）,,too much noise,
daspd-Du_shou_kong-Wang_jiang_ting-upf,“独守空帷暗长叹”——《望江亭》（谭记儿）,*,,
daspd-Hai_dao_bing-Gui_fei_zui_jiu01-lon,“海岛冰轮初转腾”——《贵妃醉酒》（杨玉环）,*,,
daspd-Hai_dao_bing-Gui_fei_zui_jiu02-qm,“海岛冰轮初转腾”——《贵妃醉酒》（杨玉环）,*,,
daspd-Hai_dao_bing-Gui_fei_zui_jiu03-qm,“海岛冰轮初转腾”——《贵妃醉酒》（杨玉环）,,,
daxp-Chun_qiu_ting-Suo_lin_nang01-qm,“春秋亭外风雨暴”——《锁麟囊》（薛湘灵）,*,,
daxp-Chun_qiu_ting-Suo_lin_nang02-qm,“春秋亭外风雨暴”——《锁麟囊》（薛湘灵）,,,
daxp-Chun_qiu_ting-Suo_lin_nang03-qm,“春秋亭外风雨暴”——《锁麟囊》（薛湘灵）,*,,
daxp-Guan_Shi_yin-Tian_nv_san_hua-lon,“观世音满月面珠开妙相”——《天女散花》（天女）,*,,
daxp-Jiao_Zhang_sheng-Hong_niang01-qm,“叫张生隐藏在棋盘之下”——《红娘·逾墙》（红娘）,*,,
daxp-Jiao_Zhang_sheng-Hong_niang02-qm,“叫张生隐藏在棋盘之下”——《红娘·逾墙》（红娘）,,,
daxp-Jiao_Zhang_sheng-Hong_niang03-qm,“叫张生隐藏在棋盘之下”——《红娘·逾墙》（红娘）,,,
daxp-Jiao_Zhang_sheng-Hong_niang04-qm,“叫张生隐藏在棋盘之下”——《红娘·逾墙》（红娘）,*,,
daxp-Jiao_Zhang_sheng-Hong_niang05-qm,“叫张生隐藏在棋盘之下”——《红娘·逾墙》（红娘）,*,,
daxp-Meng_ting_de-Mu_Gui_ying_gua_shuai01-upf,“猛听得金鼓响画角声震”——《穆桂英挂帅》（穆桂英）,*,,
daxp-Meng_ting_de-Mu_Gui_ying_gua_shuai02-qm,“猛听得金鼓响画角声震”——《穆桂英挂帅》（穆桂英）,*,,
daxp-Meng_ting_de-Mu_Gui_ying_gua_shuai03-qm,“猛听得金鼓响画角声震”——《穆桂英挂帅》（穆桂英）,,,
daxp-Meng_ting_de-Mu_Gui_ying_gua_shuai04-qm,“猛听得金鼓响画角声震”——《穆桂英挂帅》（穆桂英）,*,,
daxp-Meng_ting_de-Mu_Gui_ying_gua_shuai05-qm,“猛听得金鼓响画角声震”——《穆桂英挂帅》（穆桂英）,,,
daxp-Meng_ting_de-Mu_Gui_ying_gua_shuai06-qm,“猛听得金鼓响画角声震”——《穆桂英挂帅》（穆桂英）,*,,
daxp-Wo_Hong_niang-Hong_niang-qm,“我红娘将说是一声请”——《红娘·悔婚》（红娘）,,to much noise,
daxp-Xi_ri_li-Gan_lu_si-qm,“昔日里梁鸿配孟光”——《甘露寺》（孙尚香）,*,,
daxp-Zhe_cai_shi-Suo_lin_nang01-qm,“这才是今生难预料”——《锁麟囊》（薛湘灵）,*,,
daxp-Zhe_cai_shi-Suo_lin_nang02-qm,“这才是今生难预料”——《锁麟囊》（薛湘灵）,,,